Description,Designator,Footprint,K3 No.,Value,Quantity

"CAP,CER,100nF,10%,50V,X7R,0603","C1, C5, C6, C16, C33, C36, C39, C65, C66, C72, C75, C86, C92, C106, C149, C152","CAPC-0603","1.1.1.01.02.025-GJ","100nF","16"
"CAP,CER,1nF,5%,50V,C0G,0603","C2, C8, C12, C15, C30, C97, C112, C113","CAPC-0603","1.1.1.01.02.003","1nF","8"
"CAP,CER,10nF,10%,50V,X7R,0603","C3, C4, C7, C13, C23, C32, C54, C61, C130","CAPC-0603","1.1.1.01.02.002","10nF","9"
"CAP,CER,100nF,10%,16V,X7R,0402","C9, C26, C27, C28, C41, C43, C47, C48, C49, C50, C52, C77, C78, C80, C91, C100, C102, C103, C105, C107, C111, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C128, C129, C155, C157, C159, C161, C162, C165, C195, C198, C200, C310, C312, C313","CAPC-0402","1.1.1.01.02.168","100nF","45"
"CAP,ELEC,47uF,20%,50V,D6*L7","C10, C18, C35, C151","CAPAE-6*6","1.1.1.01.02.070","47uF","4"
"CAP,CER,4.7uF,10%,50V,X7R,1206","C11, C87, C88, C89","CAPC-1206","1.1.1.01.02.059","4.7uF","4"
"","C14","CAPC-0603","","DNP","1"
"CAP,CER,100pF,10%,16V,X7R,0603","C17","CAPC-0603","1.1.1.01.02.035GJ","100pF","1"
"CAP,CER,470nF,10%,16V,X7R,0603","C19","CAPC-0603","1.1.1.01.02.172","470nF","1"
"CAP,CER,1nF,5%,50V,C0G,0603","C20","CAPC-0603","1.1.1.01.02.003","1nF","1"
"CAP,CER,1uF,10%,50V,X7R,0603","C21","CAPC-0603","1.1.1.01.02.124","1uF","1"
"CAP,CER,10nF,10%,50V,X7R,0603","C24, C25, C85","CAPC-0402","1.1.1.01.02.002","DNP","3"
"CAP,CER,2.2uF,10%,16V,X7R,0402","C29, C101, C104, C126, C127, C158, C160, C168, C199","CAPC-0402","1.1.1.01.02.187","2.2uF","9"
"CAP,CER,10nF,10%,100V,X7R,0805","C31, C45, C60, C98","CAPC-0805","1.1.1.01.02.048-GJ","10nF","4"
"CAP,CER,22pF,5%,50V,NPO,0402","C34","CAPC-0402","1.1.1.01.02.130","22pF","1"
"CAP,CER,10uF,10%,50V,X7R,1206","C37, C38, C53, C79, C90, C93, C94, C95","CAPC-1206","1.1.1.01.02.171","10uF","8"
"CAP CER,1uF,10%,16V,X5R,0402","C40","CAPC-0402","1.1.1.01.02.139","1uF","1"
"CAP,CER,10uF,20%,6.3V,X5R,0402","C42","CAPC-0402","1.1.1.01.02.204","10uF","1"
"CAP,CER,1uF,10%,10V,X5R,0402","C44, C46, C51","CAPC-0402","1.1.1.01.02.169","1uF","3"
"CAP CER,100pF,5%,100V,COG,0603","C55, C58","CAPC-0603","1.1.1.01.02.115","100pF","2"
"CAP,CER,4.7nF,10%,50V,X7R,0603","C56","CAPC-0603","1.1.1.01.02.027","4.7nF","1"
"CAP,CER,100nF,10%,50V,X7R,0603","C57, C59, C133","CAPC-0402","1.1.1.01.02.025-GJ","100nF","3"
"CAP,CER,100nF,10%,100V,X7R,0805","C62, C63, C64","CAPC-0805","1.1.1.01.02.014-SX","100nF","3"
"CAP,ELEC,220uF,20%,50V,D10*L10","C67","CAPAE-10*10","1.6.1.01.003.004","220uF","1"
"CAP,CER,10uF,20%,10V,X5R,0603","C68, C69, C70, C71, C74, C2104","CAPC-0603","1.1.1.01.02.164","10uF","6"
"CAP,CER,22uF,10%,25V,X7R,0805","C76","CAPC-0805","1.1.1.01.02.154","22uF","1"
"CAP,CER,2.2uF,10%,50V,X7R,0805","C81, C82, C83, C84, C132","CAPC-0805","1.1.1.01.02.158","2.2uF","5"
"CAP,CER,1nF,10%,100V,X7R,0805","C96","CAPC-0805","1.1.1.01.02.053-SX","1nF","1"
"cap,22.00uF,+/-20%,6.3V,X5R,C0603","C99, C108, C109, C110, C2103, C2108, C2114, C2116, C2124, C2125","CAPC-0603","","","10"
"cap,100.00nF,+/-10%,10V,X5R,C0402, cap,100.00nF,+/-10%,6.3V,X5R,C0402, cap,100.00nF,+/-10%,16V,X5R,C0402","C115, C136, C138, C139, C142, C145, C146, C147, C148, C150, C1002, C1003, C1004, C1005, C1008, C1009, C1010, C1011, C1100, C1103, C1104, C1105, C1108, C1201, C1202, C1203, C1204, C1205, C1206, C1300, C1400, C1401, C1402, C1500, C1701, C1702, C1703, C1704, C1800, C1801, C1802, C1903, C1904, C1905, C1906, C1908, C1910, C1911, C1912, C1913, C1914, C1919, C1920, C1921, C1922, C1923, C1924, C1925, C1926, C1927, C1928, C1929, C1930, C1931, C1932, C1934, C1935, C1936, C1937, C1938, C1939, C1940, C1941, C1945, C1946","C0402","","","75"
"CAP,CER,1nF,5%,50V,NPO,0402","C131, C140, C153","CAPC-0402","1.1.1.01.02.132","1nF","3"
"CAP,CER,18pF,1%,25V,X5R,0603","C134, C135","CAPC-0603","1.1.1.01.02.175","18pF","2"
"Did Not Place.","C137, C1915","C0402","","","2"
"cap,1.00uF,+/-10%,10V,X5R,C0402","C141, C1901","C0402","","","2"
"cap,4.70uF,+/-10%,6.3V,X5R,C0402","C143, C144, C169, C170, C1001, C1007, C1902, C1942","C0402","","","8"
"CAP,CER,4.7uF,10%,10V,X5R,0603","C154, C156","CAPC-0603","1.1.1.01.02.162","4.7uF","2"
"CAP,CER,33nF,10%,50V,X7R,0402","C163, C164, C166, C167","CAPC-0402","1.1.1.01.02.177","33nF","4"
"CAP,CER,10pF,10%,16V,X7R,0402","C281, C282, C2130, C2132","CAPC-0402","1.1.1.01.02.186","10pF","4"
"CAP,CER,10nF,10%,50V,X7R,0402","C283","CAPC-0402","1.1.1.01.02.133","10nF","1"
"cap,10.00uF,+/-10%,6.3V,X5R,C0603","C1000, C1006","C0603","","","2"
"cap,22.00pF,+/-2%,50V,C0G,C0402","C1101, C1102","C0402","","","2"
"cap,4.70uF,+/-10%,10V,X5R,C0603","C1200","C0603","","","1"
"CAP,CER,100nF,10%,6.3V,X5R,0201","C1601, C1602","CAPC-0201","1.1.1.01.02.159","100nF","2"
"cap,100.00pF,+/-10%,50V,C0G,C0402","C1700","C0402","","","1"
"cap,100.00nF,+/-10%,6.3V,X5R,C0402, cap,1.00nF,+/-10%,50V,X5R,C0402","C1909, C1933","C0402","","","2"
"cap,22.00uF,+/-20%,6.3V,X5R,C0603","C1916, C1917, C1918","C0603","","","3"
"cap,1.00uF,+/-10%,6.3V,X5R,C0402, cap,1.00uF,+/-10%,10V,X5R,C0402","C2100, C2102, C2105, C2106, C2109, C2111, C2112, C2113, C2117, C2118, C2119, C2120, C2121, C2122, C2123, C2126, C2128, C4100","CAPC-0402","","","18"
"cap,10.00uF,+/-10%,6.3V,X5R,C0603","C2107, C2115","CAPC-0603","","","2"
"cap,2.20uF,+/-10%,10V,X5R,C0402, cap,2.20uF,+/-10%,6.3V,X5R,C0402","C2134, C2135, C2136, C2137, C2138","CAPC-0402","","","5"
"cap,100.00nF,+/-10%,25V,X5R,C0402, cap,100.00nF,+/-10%,6.3V,X5R,C0402, cap,100.00nF,+/-10%,10V,X5R,C0402","C2139, C2141, C2143, C4102, C4103, C4105, C4107, C4108","CAPC-0402","","","8"
"cap,4.70uF,+/-10%,6.3V,X5R,C0402","C4101, C4104","CAPC-0402","","","2"
"D,SCH,3A,100V,1,DO-214AA(HSMB)","D1, D12","DIOC-5.2*2.6","1.1.1.01.03.053, 1.1.1.01.03.053A","SK310B","2"
"D,SW,1,200mA,250V,1,SOD323/HIGH-VOLTAGE","D2, D6, D7, D10, D11, D13","SOD-2.5*0.95","1.1.1.01.05.113","BAS21HT1G","6"
"D,SW,1,100mA,25V,1X2DFN-2P/HIGH-SPEED","D4","X2DFN-2","1.1.1.01.03.112","SM0130MB","1"
"D,RECT,1A,1000V,1,SMA-W","D5","DIOC-5.2*2.6","1.1.1.01.03.013A","M7-01-W001","1"
"D,RECT,3A,1000V,1，DO-214AB(SMC)","D8, D9","DIOC-8*6","1.1.1.01.03.102","SS36","2"
"Data Matrix Area","DM, DM1","DM-10*10","","","2"
