Description,Designator,Footprint,K3 No.,Value,Quantity
,,,,,
"CAP,CER,100nF,10%,50V,X7R,0603","C1, C5, C6, C16, C19, C33, C36, C39, C65, C66, C72, C75, C86, C92, C106, C111, C114, C115, C152, C175, C176, C180, C181, C182",0603-C,1.1.1.01.02.025GJ,100nF,24
"CAP,CER,1nF,5%,50V,C0G,0603","C2, C8, C12, C15, C20, C30, C97",0603-C,1.1.1.01.02.003,1nF,7
"CAP,CER,10nF,10%,50V,X7R,0603","C3, C4, C7, C13, C23, C32, C54, C61, C130, C171",0603-C,1.1.1.01.02.002,10nF,10
"CAP,CER,100nF,10%,16V,X7R,0402","C9, C26, C27, C28, C41, C43, C48, C49, C50, C52, C77, C78, C80, C91, C100, C102, C103, C105, C107, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C128, C129, C132, C142, C155, C157, C159, C161, C162, C165, C195, C198, C200, C310, C312, C313, C1701, C1702, C1703, C1704, C2143",0402-C,1.1.1.01.02.168,100nF,50
"CAP,ELEC,47uF,20%,50V,D6*L7","C10, C18, C35",CAPAE-6*6,1.1.1.01.02.070,47uF,3
"CAP,CER,4.7uF,10%,50V,X7R,1206","C11, C87, C88, C89",1206-C,1.1.1.01.02.059,4.7uF,4
,C14,0603-C,,DNP,1
"CAP,CER,100pF,10%,16V,X7R,0603",C17,0603-C,1.1.1.01.02.035FH,100pF,1
"CAP,CER,1uF,10%,50V,X7R,0603",C21,0603-C,1.1.1.01.02.235,1uF,1
"CAP,CER,10uF,10%,50V,X7R,1206","C22, C47, C73, C149, C153, C177, C178, C179, C184, C193, C197",0805-C,1.1.1.01.02.243,10uF,11
"CAP,CER,10nF,10%,50V,X7R,0603","C24, C25, C85",0402-C,1.1.1.01.02.133,DNP,3
"CAP,CER,2.2uF,10%,16V,X7R,0402","C29, C101, C104, C126, C127, C158, C160, C168, C199, C202, C203, C2134, C2135, C2136, C2137, C2138",0402-C,1.1.1.01.02.187,2.2uF,16
"CAP,CER,10nF,10%,100V,X7R,0805","C31, C45, C60, C98, C151",0805-C,1.1.1.01.02.048GJ,10nF,5
"CAP,CER,22pF,5%,50V,NPO,0402",C34,0402-C,1.1.1.01.02.130,22pF,1
"CAP,CER,10uF,10%,50V,X7R,1206","C37, C38, C53, C79, C90, C93, C94, C95",1206-C,1.1.1.01.02.171,10uF,8
